Timestamp,Score,Gender,Age,Educational Qualification,Monthly income,Which UPI app do you use the most?,I use UPI for most of my daily transactions,Using UPI makes me spend more than I planned,I make more impulse/unplanned purchases because UPI is so convenient, I find it harder to track my spending when I use UPI,UPI cashbacks and offers encourage me to spend more,I spend on small things now that I would have skipped with cash,The ease of UPI has increased my overall monthly expenses,I often pay digitally without thinking about the amount,I shop online more because UPI payment is quick and easy,"I lose the ""feel"" of money when I pay through UPI compared to cash",I am able to save a fixed amount every month,Using UPI helps me keep digital records that improve my budgeting,I review my UPI transaction history to control my expenses,UPI has made me more disciplined about my finances,I set a monthly spending limit for myself,I transfer money to savings before spending on wants,Digital payments help me avoid borrowing/cash shortages,I plan my expenses better because of digital transaction records,My savings have remained stable or improved since I started using UPI,"Overall, UPI has had a positive impact on my saving habits"
30/06/2026 02:30:29,,Female,Below 25,Professional/masters,Below 25000,Paytm,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Agree
30/06/2026 02:30:30,,Female,Below 25,UG,Below 25000,Google pay,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:30:32,,Male,25-35,UG,25000-50000,Phonepay,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree
30/06/2026 02:30:33,,Male,Below 25,UG,Below 25000,Paytm,Strongly Agree,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Agree
30/06/2026 02:30:34,,Male,Below 25,School,Below 25000,Google pay,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree
30/06/2026 02:30:35,,Male,Below 25,UG,25000-50000,Phonepay,Neutral,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree
30/06/2026 02:30:37,,Female,Below 25,UG,Below 25000,Google pay,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:30:39,,Female,Below 25,Professional/masters,Below 25000,Paytm,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral
30/06/2026 02:30:40,,Female,Below 25,Professional/masters,25000-50000,Phonepay,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
30/06/2026 02:30:42,,Male,Below 25,Professional/masters,Above 100000,Google pay,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree
30/06/2026 02:30:43,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:30:44,,Female,25-35,UG,Below 25000,Phonepay,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral
30/06/2026 02:30:46,,Male,Below 25,School,25000-50000,Google pay,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:30:47,,Male,Below 25,UG,25000-50000,Phonepay,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree
30/06/2026 02:30:49,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree
30/06/2026 02:30:50,,Male,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
30/06/2026 02:30:52,,Female,Below 25,UG,25000-50000,Google pay,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:30:53,,Female,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree
30/06/2026 02:30:54,,Male,25-35,Professional/masters,Below 25000,Phonepay,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral
30/06/2026 02:30:56,,Female,Below 25,Professional/masters,25000-50000,Phonepay,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:30:57,,Male,Below 25,School,50000-100000,Google pay,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:30:59,,Female,Below 25,UG,25000-50000,Paytm,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree
30/06/2026 02:31:01,,Female,Below 25,UG,25000-50000,Phonepay,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree
30/06/2026 02:31:02,,Female,Below 25,School,25000-50000,Google pay,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral
30/06/2026 02:31:03,,Female,Below 25,UG,Below 25000,Google pay,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree
30/06/2026 02:31:05,,Male,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral
30/06/2026 02:31:06,,Male,Below 25,Professional/masters,Below 25000,Google pay,Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree
30/06/2026 02:31:08,,Male,Below 25,Professional/masters,Below 25000,Google pay,Agree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral
30/06/2026 02:31:09,,Female,Below 25,School,Below 25000,Phonepay,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral
30/06/2026 02:31:10,,Female,Below 25,School,25000-50000,Google pay,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree
30/06/2026 02:31:12,,Male,25-35,Professional/masters,Below 25000,Phonepay,Neutral,Neutral,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree
30/06/2026 02:31:13,,Female,Below 25,UG,Below 25000,Google pay,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree
30/06/2026 02:31:14,,Female,Below 25,UG,Below 25000,Google pay,Agree,Agree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree
30/06/2026 02:31:16,,Male,25-35,UG,Below 25000,Paytm,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree
30/06/2026 02:31:17,,Male,Below 25,UG,25000-50000,Google pay,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree
30/06/2026 02:31:18,,Female,Below 25,UG,50000-100000,Phonepay,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree
30/06/2026 02:31:20,,Male,Below 25,School,25000-50000,Google pay,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree
30/06/2026 02:31:21,,Female,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral
30/06/2026 02:31:22,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral
30/06/2026 02:31:24,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Agree,Neutral
30/06/2026 02:31:25,,Male,25-35,Professional/masters,Below 25000,Paytm,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree
30/06/2026 02:31:26,,Male,Below 25,UG,25000-50000,Google pay,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree
30/06/2026 02:31:28,,Female,Below 25,Professional/masters,25000-50000,Google pay,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
30/06/2026 02:31:29,,Male,Below 25,Professional/masters,Below 25000,Paytm,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:31:31,,Male,25-35,Professional/masters,Below 25000,Phonepay,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree
30/06/2026 02:31:32,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:31:33,,Male,Below 25,UG,Below 25000,Google pay,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:31:35,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree
30/06/2026 02:31:36,,Female,Below 25,School,Below 25000,Phonepay,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Disagree
30/06/2026 02:31:38,,Male,Below 25,UG,25000-50000,Paytm,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
30/06/2026 02:31:39,,Female,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree
30/06/2026 02:31:40,,Female,Below 25,UG,25000-50000,Others,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree
30/06/2026 02:31:42,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:31:43,,Female,Below 25,Professional/masters,Above 100000,Google pay,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
30/06/2026 02:31:44,,Female,25-35,UG,Below 25000,Phonepay,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree
30/06/2026 02:31:46,,Female,Below 25,School,Below 25000,Phonepay,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
30/06/2026 02:31:47,,Female,Below 25,Professional/masters,25000-50000,Phonepay,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree
30/06/2026 02:31:48,,Female,Below 25,Professional/masters,Below 25000,Google pay,Neutral,Strongly Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree
30/06/2026 02:31:50,,Male,Below 25,Professional/masters,25000-50000,Phonepay,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree
30/06/2026 02:31:51,,Female,Above 35,UG,Below 25000,Google pay,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree
30/06/2026 02:31:52,,Female,Below 25,Professional/masters,25000-50000,Google pay,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree
30/06/2026 02:31:54,,Male,Below 25,UG,25000-50000,Google pay,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
30/06/2026 02:31:55,,Female,Below 25,Professional/masters,Below 25000,Paytm,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Agree
30/06/2026 02:31:56,,Male,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral
30/06/2026 02:31:58,,Male,25-35,UG,Below 25000,Bhim,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
30/06/2026 02:31:59,,Male,Below 25,School,Below 25000,Google pay,Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
30/06/2026 02:32:00,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree
30/06/2026 02:32:02,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:32:03,,Male,25-35,Professional/masters,25000-50000,Phonepay,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:32:04,,Male,Above 35,UG,Below 25000,Phonepay,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree
30/06/2026 02:32:06,,Male,25-35,Professional/masters,25000-50000,Phonepay,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree
30/06/2026 02:32:07,,Female,Below 25,UG,Below 25000,Phonepay,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:32:09,,Male,Below 25,UG,Below 25000,Others,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree
30/06/2026 02:32:10,,Male,25-35,School,Below 25000,Google pay,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree
30/06/2026 02:32:11,,Female,Below 25,UG,Below 25000,Phonepay,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree
30/06/2026 02:32:13,,Male,Below 25,Professional/masters,25000-50000,Phonepay,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:32:14,,Female,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree
30/06/2026 02:32:15,,Male,25-35,School,Below 25000,Google pay,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
30/06/2026 02:32:17,,Male,25-35,Professional/masters,Below 25000,Phonepay,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree
30/06/2026 02:32:18,,Female,Below 25,UG,Below 25000,Google pay,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:32:20,,Male,Below 25,Professional/masters,50000-100000,Phonepay,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree
30/06/2026 02:32:21,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
30/06/2026 02:32:22,,Female,25-35,School,Below 25000,Paytm,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:32:24,,Female,25-35,Professional/masters,Below 25000,Google pay,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:32:25,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree
